index,x[mm],y[mm],z[mm],Ux[mm],Uy[mm],Uz[mm],Fx[N],Fy[N],Fz[N]
564,3.230050,-2.466810,-4.447690,-13.737335,-5.176003,-18.825744,0.000000,0.000000,0.000000
565,5.257270,-9.822120,-3.747610,-17.460328,-5.907544,-15.084922,0.000000,-0.000000,-0.000000
566,5.957650,-9.629940,-3.826630,-17.383214,-6.331199,-15.431567,-0.000000,0.000000,-0.000000
567,0.120864,3.475870,1.900680,-9.698996,-0.498706,-21.057935,-0.000000,-0.000000,-0.000000
568,-3.329940,-12.932700,-2.386020,-0.585379,2.336138,-0.553667,0.000000,-0.000000,0.000000
569,-4.409860,-11.939000,-1.639710,-1.729637,1.443141,-0.938518,-0.000000,-0.000000,-0.000000
570,3.883660,7.993340,0.736588,-6.798800,-4.066497,-23.326676,0.000000,-0.000000,-0.000000
571,5.599020,7.327590,1.432730,-7.795782,-6.502627,-22.299001,0.000000,-0.000000,0.000000
572,-4.688740,-11.702200,-1.597430,-2.022844,1.105554,-1.135548,-0.000000,0.000000,0.000000
573,4.068790,-10.581400,-1.663550,-17.175601,-4.028041,-14.237763,-0.000000,-0.000000,0.000000
574,4.550510,-2.561410,-0.034786,-12.340147,-3.332773,-19.169905,-0.000000,0.000000,0.000000
575,-0.129425,-4.493150,-8.574540,-15.833633,-5.663436,-16.642141,-0.000000,0.000000,0.000000
576,-0.182261,-4.692480,-8.530460,-15.916839,-5.612341,-16.511237,0.000000,-0.000000,0.000000
577,-2.854230,1.561820,-4.521050,-11.721862,-1.815933,-19.520168,0.000000,-0.000000,-0.000000
578,-3.358410,-12.209300,-2.788070,-1.752267,1.854682,-1.542747,-0.000000,0.000000,-0.000000
579,-3.409860,-13.043600,-2.568050,-0.407708,2.037155,-0.399701,-0.000000,0.000000,-0.000000
580,2.472930,9.182680,1.071480,-6.004103,-2.781372,-23.728531,0.000000,-0.000000,-0.000000
581,-1.874920,6.289770,0.439383,-8.075981,0.055225,-22.061478,0.000000,-0.000000,0.000000
582,1.946400,6.840670,-0.748468,-7.806878,-3.003282,-22.775048,0.000000,0.000000,0.000000
583,-1.912450,3.964200,-1.239370,-9.776578,-0.619902,-21.114217,0.000000,-0.000000,0.000000
584,-0.172938,7.365390,3.722720,-6.983698,0.248793,-22.696171,0.000000,-0.000000,0.000000
585,-1.606720,4.829640,-3.612930,-9.567523,-1.893742,-21.477367,0.000000,0.000000,-0.000000
586,0.124655,7.794840,1.191650,-6.978711,-0.966855,-22.932196,0.000000,0.000000,0.000000
587,5.081060,-8.637440,-2.269480,-16.331840,-4.934329,-15.730930,0.000000,0.000000,0.000000
588,2.342650,-2.526930,-2.818720,-13.224587,-3.761484,-18.487712,-0.000000,0.000000,0.000000
589,-4.122700,-4.902770,-2.045040,-12.792115,0.148841,-13.523905,-0.000000,0.000000,-0.000000
590,-0.017656,0.612024,-2.321970,-11.727399,-2.269428,-19.812678,-0.000000,-0.000000,-0.000000
591,2.787050,5.535290,0.309944,-8.587003,-3.208525,-22.383200,0.000000,0.000000,0.000000
592,-2.930560,3.723400,-2.555160,-10.085283,-0.662426,-20.812058,-0.000000,-0.000000,-0.000000
593,-0.445100,-1.286870,-1.739110,-12.419407,-1.598185,-18.453190,-0.000000,-0.000000,0.000000
594,-2.570570,-2.820950,-2.212670,-13.140959,-0.524600,-16.573203,0.000000,-0.000000,0.000000
595,-3.337270,7.201440,2.201410,-7.262205,1.802905,-22.253711,-0.000000,0.000000,0.000000
596,3.513340,6.901870,-0.386600,-7.691139,-3.971384,-22.980925,-0.000000,-0.000000,0.000000
597,-0.503113,3.076980,-0.023627,-10.224992,-0.957149,-20.896369,0.000000,-0.000000,0.000000
598,4.089890,-3.364510,-1.914450,-13.386509,-4.190702,-18.544434,-0.000000,-0.000000,0.000000
599,-3.213630,-10.311000,-2.219460,-5.013152,2.365705,-4.548409,-0.000000,0.000000,0.000000
600,0.191129,7.232240,4.783290,-6.961177,0.421907,-22.676775,-0.000000,0.000000,0.000000
601,-2.773360,2.830080,-1.574570,-10.470349,-0.263058,-20.389488,-0.000000,-0.000000,-0.000000
602,-2.676080,3.863610,-4.042170,-10.220210,-1.480343,-20.861124,0.000000,-0.000000,0.000000
603,5.452950,-10.092600,-2.450290,-17.174535,-5.241377,-14.988746,0.000000,-0.000000,0.000000
604,0.374796,6.044000,-4.768460,-8.898586,-3.583420,-22.253038,0.000000,-0.000000,-0.000000
605,-4.390610,-3.028080,-1.991550,-12.974096,0.096393,-15.709119,-0.000000,-0.000000,0.000000
606,-0.785632,8.583080,3.655310,-6.132199,0.657664,-23.129637,-0.000000,0.000000,0.000000
607,0.324641,5.900350,0.728364,-8.318102,-1.251131,-22.204008,-0.000000,-0.000000,0.000000
608,1.424520,-0.150796,-3.285860,-12.284518,-3.549794,-19.694788,-0.000000,0.000000,0.000000
609,1.794730,6.239400,1.011480,-8.077228,-2.268493,-22.481057,0.000000,0.000000,-0.000000
610,8.794160,6.716490,3.553450,-10.848195,-12.451964,-18.914636,0.000000,-0.000000,0.000000
611,5.613100,6.504810,0.575500,-7.909156,-6.054713,-22.844502,0.000000,-0.000000,0.000000
612,3.411350,-3.484360,-3.273120,-13.864629,-4.606522,-18.271986,-0.000000,0.000000,-0.000000
613,-3.507230,4.439010,-1.155510,-9.458605,0.427745,-21.095798,0.000000,0.000000,-0.000000
614,1.065180,8.755010,-0.358795,-6.501153,-2.288368,-23.436228,0.000000,0.000000,0.000000
615,2.889040,7.791530,0.107668,-7.058788,-3.415230,-23.170563,-0.000000,-0.000000,-0.000000
616,-1.687410,4.040240,-4.903810,-10.247459,-2.432562,-21.096087,0.000000,-0.000000,0.000000
617,-1.375120,-1.156380,-3.379430,-12.894649,-2.068239,-18.289077,0.000000,-0.000000,0.000000
618,1.055650,7.939470,-3.014130,-7.346606,-3.301184,-23.105723,0.000000,0.000000,-0.000000
619,-0.606245,-4.321350,-6.927750,-15.280849,-4.482368,-16.601724,0.000000,-0.000000,-0.000000
